Source,Target,Label
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.module.scss","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.module.scss"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/get-view-contact.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/get-view-contact.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/select-loader/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/select-loader/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/get-view-contact.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/contact-select.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/customer-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/customer-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/customer-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/customer-select.scss","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/customer-select.scss"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/customer-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/customer.js","client-tabs/client-tab-content/client-contact-persons-tab/components/customer.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/customer-select.js","types/client-card.types.js","types/client-card.types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/customer-select.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/customer-select.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/api/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/model/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/contact-select/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/customer-select/index.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.module.scss","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.module.scss"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/position.js","client-tabs/client-tab-content/client-contact-persons-tab/components/position.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/roles.js","client-tabs/client-tab-content/client-contact-persons-tab/components/roles.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js","client-tabs/client-tab-content/client-contact-persons-tab/components/types.js"
"client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/index.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js","client-tabs/client-tab-content/client-contact-persons-tab/components/client-contact-attach/ui/form/client-contact-attach-form.js"
